PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,CalendarYearIssued,StatusCurrent,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,TotalJobValuation,NumberOfFloors,HousingUnits,OriginalAddress1,OriginalZip,CouncilDistrict,Link,ProjectID,MasterPermitNum,Latitude,Longitude,Location,ContractorCompanyName,ContractorPhone
2013-114213 BP,R- 645 Demolition One Family Homes,Demolition,No,2411 ENFIELD RD,Repermit 2013010952BP  Total demo of single family res,113060110,W CEN 90 FT OF LOT 5 BLK 6 WESTFIELD A,10/25/2013,11/4/2013,2013,Expired,6/12/2014,5/4/2014,,"1,215","20,000.00",1,1,2411 ENFIELD RD,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11041588,11041588,11039287,30.28857048,-97.76971731,"(30.28857048, -97.76971731)","Valleyview Homes, Inc.",5127897979
2013-115179 BP,R- 645 Demolition One Family Homes,Demolition,No,2212 IVA LN,Demolish a cr 1949 1 story sf res,401070620,LOT 23 DELCREST ADDN,10/2/2013,11/19/2013,2013,Final,5/18/2016,5/18/2016,5/18/2016,"1,176","5,000.00",1,1,2212 IVA LN,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11042780,11042780,11025930,30.24654412,-97.77459639,"(30.24654412, -97.77459639)",DAR Construction,5124534646
2013-115187 BP,R- 645 Demolition One Family Homes,Demolition,No,1706 E 38TH ST,Total demo of home  Circa 1947,214111613,LOT 29 OLT 32 DIV C GILES PLACE SEC 1,9/6/2013,11/13/2013,2013,Final,7/25/2014,7/25/2014,7/25/2014,"1,010","11,000.00",1,1,1706 E 38TH ST,78722,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11042792,11042792,11012795,30.29081608,-97.71307352,"(30.29081608, -97.71307352)","RisherMartin, LLC",5124959090
2013-115720 BP,R- 645 Demolition One Family Homes,Demolition,No,5507 NEW HAVEN CT,Total demo of home  Circa 1950,230020127,LOT 42 BLK C SHOALMONT ADDN SEC 4,10/25/2013,12/23/2013,2013,VOID,7/10/2017,12/23/2015,,"1,714","12,000.00",1,1,5507 NEW HAVEN CT,78756,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11044940,11044940,11039204,30.33118136,-97.74521469,"(30.33118136, -97.74521469)",Construction Waste Recyclers,5126334769
2013-115723 BP,R- 645 Demolition One Family Homes,Demolition,No,1506 W 39TH HALF ST,Total demo of home Structure has been demolished,221010516,LOT 16 BLK B SHOALCREST OAKS,10/25/2013,11/5/2013,2013,Final,1/20/2015,1/16/2014,1/16/2014,0,0,1,1,1506 W 39TH HALF ST,78756,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11044943,11044943,11039264,30.30985843,-97.74714645,"(30.30985843, -97.74714645)",Haven Blue Development LLC,5128484056
2013-116754 BP,R- 645 Demolition One Family Homes,Demolition,No,2729 LYONS RD,Total demo of home  Circa 1949,204120109,LOT 10 BLK 1 OLT 3435 DIV A JONES I P SUBD,9/27/2013,11/8/2013,2013,Expired,11/9/2015,11/8/2015,,"1,500","4,000.00",1,1,2729 LYONS RD,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11046173,11046173,11023627,30.26413711,-97.70901645,"(30.26413711, -97.70901645)",,5127847853
2013-118011 BP,R- 645 Demolition One Family Homes,Demolition,No,5206 WOODROW AVE,Total demo of single family res  Circa 1947,226040347,LOT 16 BLK 14 BROADACRES,9/16/2013,11/12/2013,2013,Final,1/14/2014,1/14/2014,1/14/2014,820,"5,000.00",1,1,5206 WOODROW AVE,78756,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047570,11047570,11016789,30.32309269,-97.73678616,"(30.32309269, -97.73678616)",JM Construction,5128453212
2013-118012 BP,R- 645 Demolition One Family Homes,Demolition,No,2703 ZARAGOSA ST,Total demo of house  Circa 1960,204120304,LOT 9 BLK 2 OLT 3435 DIV A JONES I P SUBD,11/1/2013,11/13/2013,2013,Final,6/5/2014,6/5/2014,6/5/2014,720,"3,000.00",1,1,2703 ZARAGOSA ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047571,11047571,11042226,30.26375228,-97.71037032,"(30.26375228, -97.71037032)",Billingsley House Moving,5128066640
2013-118014 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,1209 CEDAR AVE,Total demo of existing two family structure  Circa 1950,208110612,S 38' OF LOT 11 BLK 24 OLT 3233 DIV B GLENWOOD ADDN,10/30/2013,11/13/2013,2013,Expired,3/23/2016,3/22/2016,,864,"7,500.00",1,1,1209 CEDAR AVE,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047573,11047573,11041005,30.27558813,-97.71297668,"(30.27558813, -97.71297668)",Trella Building Partners LLC,5129219104
2013-118234 BP,R- 645 Demolition One Family Homes,Demolition,No,1308 MERIDEN LN,Demolish a cr 1938 1 story sf res and att garage,112050513,S 725 FT OF LOT 2 BLK 4 WESTFIELD A,9/6/2013,11/15/2013,2013,Final,7/22/2015,7/22/2015,7/22/2015,"1,200","10,000.00",1,1,1308 MERIDEN LN,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047800,11047800,11012812,30.2860058,-97.76744981,"(30.2860058, -97.76744981)",,5126588968
2013-118239 BP,R- 645 Demolition One Family Homes,Demolition,No,1412 ETHRIDGE AVE,Demolish existing 1 story 418 square foot detached garage,116000915,LOT 17  W 10 FT OF LOT 16 BLK 28 PEMBERTON HEIGHTS SEC 8,11/1/2013,11/19/2013,2013,Final,12/30/2014,12/30/2014,12/30/2014,418,"2,500.00",1,1,1412 ETHRIDGE AVE,78703,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047805,11047805,11042181,30.29537846,-97.7544089,"(30.29537846, -97.7544089)",DAR Construction,5124534646
2013-118246 BP,R- 645 Demolition One Family Homes,Demolition,No,1708 E M FRANKLIN AVE,Total demo of existing home   Circa 1925,213160601,,11/6/2013,11/13/2013,2013,Final,5/7/2014,5/7/2014,5/7/2014,918,"6,000.00",1,1,1708 E M FRANKLIN AVE,78721,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047812,11047812,11045605,30.28243169,-97.69598243,"(30.28243169, -97.69598243)",Changos Service,5122641535
2013-118276 BP,R- 645 Demolition One Family Homes,Demolition,No,2403 WESTOVER RD,Total demo of house  Circa 1955,118040306,LOT 6 BLK 2 BROWN HERMAN ADDN,11/1/2013,12/16/2013,2013,Final,4/28/2015,4/28/2015,4/28/2015,"2,200","10,000.00",1,1,2403 WESTOVER RD,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047845,11047845,11042280,30.30158069,-97.7618122,"(30.30158069, -97.7618122)",Duckworth Property Dev,5127719808
2013-118295 BP,R- 645 Demolition One Family Homes,Demolition,No,4602 AVENUE C,Total demo of home  Circa 1930,222070209,LOT 8 BLK 8 HYDE PARK ANNEX,9/6/2013,12/4/2013,2013,Final,1/21/2014,1/21/2014,1/21/2014,624,"4,900.00",1,1,4602 AVENUE C,78751,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11047864,11047864,11012816,30.31182805,-97.72896148,"(30.31182805, -97.72896148)",Absolute Demolition,5129181989
2013-118756 BP,R- 645 Demolition One Family Homes,Demolition,No,1515 HETHER ST,Total demo of home and detached garage  Circa 1937,100051701,,10/2/2013,11/19/2013,2013,Final,11/3/2015,11/3/2015,11/3/2015,700,0,1,1,1515 HETHER ST,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11048385,11048385,11026114,30.25016509,-97.769172,"(30.25016509, -97.769172)",DAR Construction,5124534646
2013-118759 BP,R- 645 Demolition One Family Homes,Demolition,No,4106 RAMSEY AVE,Total demo of house  Circa 1940,221010711,S 30FT LOT 12  N 30FT LOT 13 BLK 3 MCGUIRES SUBD NO 1,9/5/2013,11/13/2013,2013,Final,2/5/2014,2/5/2014,2/5/2014,940,"10,000.00",1,1,4106 RAMSEY AVE,78756,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11048388,11048388,11012032,30.31224028,-97.74619502,"(30.31224028, -97.74619502)",DAR Construction,5124534646
2013-118918 BP,R- 645 Demolition One Family Homes,Demolition,No,3105 WESTLAKE DR,Total demo of pool coping and spa,123090239,LOT 7576 LAKE SHORE ADDN PLUS ACCRETION BETWEEN LOTS  RIVER,11/13/2013,11/13/2013,2013,Final,3/26/2015,3/26/2015,3/26/2015,"1,605","10,000.00",1,1,3105 WESTLAKE DR,78746,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11048564,11048564,11048506,30.31517655,-97.77850476,"(30.31517655, -97.77850476)",Dalgleish Construction Company,5123468554
2013-120405 BP,R- 645 Demolition One Family Homes,Demolition,No,89 1/2 RAINEY ST,Total demo of addition only  Main structure will be relocated,203031014,LOTS 111  N 3175 FT OF LOT 12 BLK 2 OLT 7273 DIV E DRISKILL  RAINEY SUBD,11/14/2013,11/18/2013,2013,Final,7/29/2014,7/29/2014,7/29/2014,"1,092","14,000.00",1,1,89 1/2 RAINEY ST,78701,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050296,11050296,11049328,30.26003803,-97.737994,"(30.26003803, -97.737994)","Heart of Texas Demolition, LLC",5129091533
2013-120406 BP,R- 645 Demolition One Family Homes,Demolition,No,91 RAINEY ST,Total demo of addition only  Main structure will be relocated,203031014,LOTS 111  N 3175 FT OF LOT 12 BLK 2 OLT 7273 DIV E DRISKILL  RAINEY SUBD,11/14/2013,11/18/2013,2013,Final,7/29/2014,7/29/2014,7/29/2014,"1,776","14,000.00",1,1,91 RAINEY ST,78701,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050297,11050297,11049360,30.26020456,-97.73793249,"(30.26020456, -97.73793249)","Heart of Texas Demolition, LLC",5129091533
2013-120407 BP,R- 645 Demolition One Family Homes,Demolition,No,93 RAINEY ST,Total demo of addition only  Main structure will be relocated,203031014,LOTS 111  N 3175 FT OF LOT 12 BLK 2 OLT 7273 DIV E DRISKILL  RAINEY SUBD,11/14/2013,11/18/2013,2013,Final,4/24/2014,4/24/2014,4/24/2014,"1,485","14,000.00",1,1,93 RAINEY ST,78701,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050298,11050298,11049369,30.26037383,-97.73787091,"(30.26037383, -97.73787091)","Heart of Texas Demolition, LLC",5129091533
2013-120408 BP,R- 645 Demolition One Family Homes,Demolition,No,95 RAINEY ST,Total demo of addition only  Main structure will be relocated,203031014,LOTS 111  N 3175 FT OF LOT 12 BLK 2 OLT 7273 DIV E DRISKILL  RAINEY SUBD,11/14/2013,11/18/2013,2013,Final,7/29/2014,7/29/2014,7/29/2014,"1,344","14,000.00",1,1,95 RAINEY ST,78701,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050299,11050299,11049371,30.2605376,-97.73780948,"(30.2605376, -97.73780948)","Heart of Texas Demolition, LLC",5129091533
2013-120472 BP,R- 645 Demolition One Family Homes,Demolition,No,110 NELRAY BLVD,Total demo of home  Circa 1952,225090820,E 266FT OF LOT 8  W W 28FT OF LOT 9 HIGHLAND TERRACE,11/8/2013,12/31/2013,2013,Expired,6/21/2016,6/20/2016,,"1,100","5,500.00",1,1,110 NELRAY BLVD,78751,4,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050379,11050379,11046995,30.32014065,-97.72198132,"(30.32014065, -97.72198132)",DAR Construction,5124534646
2013-120497 BP,R- 645 Demolition One Family Homes,Demolition,No,911 BOULDIN AVE,Total demo of house  Circa 1935,102010207,LOT 1 BLK 1 LINSCOMB  LINSCOMB,9/20/2013,11/18/2013,2013,Final,2/21/2014,2/21/2014,2/21/2014,850,"3,500.00",1,1,911 BOULDIN AVE,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050404,11050404,11020571,30.25563546,-97.75573971,"(30.25563546, -97.75573971)",DAR Construction,5124534646
2013-120504 BP,R- 645 Demolition One Family Homes,Demolition,No,502 PARK BLVD,Total demo of home  Circa 1935,220080710,LOT 11 BLK 1 OLT 14 DIV C IDEAL PLACE,11/8/2013,2/13/2014,2014,Final,5/12/2014,5/12/2014,5/12/2014,"1,140","5,000.00",1,1,502 PARK BLVD,78751,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050415,11050415,11047200,30.30393784,-97.72614733,"(30.30393784, -97.72614733)",Abode Modern Homes,5128484547
2013-120507 BP,R- 645 Demolition One Family Homes,Demolition,No,3907 CLAWSON RD,Total demo of home  Circa 1953,406090234,10385 AC OF LOT 30A RESUB OF LTS 2930 BANISTER HEIGHTS,11/8/2013,11/19/2013,2013,Final,5/7/2014,5/7/2014,5/7/2014,"1,818","9,000.00",1,1,3907 CLAWSON RD,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050419,11050419,11047221,30.23208023,-97.78162779,"(30.23208023, -97.78162779)","Gold Key Builders, Inc",5123270807
2013-120511 BP,R- 645 Demolition One Family Homes,Demolition,No,2205 E 9TH ST,Total demo of house  Circa 1947,205101103,LOT 3 BLK 23 GRANDVIEW PLACE,9/27/2013,11/20/2013,2013,Final,3/5/2014,3/5/2014,3/5/2014,"1,200","1,500.00",1,1,2205 E 9TH ST,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11050423,11050423,11023647,30.26331519,-97.71724175,"(30.26331519, -97.71724175)",MX3 Investments,5122702900
2013-121420 BP,R- 645 Demolition One Family Homes,Demolition,No,2012 BITTER CREEK DR,Total demo of residence  Circa 1984,424040319,LOT 4 BLK G SOUTH CREEK SEC 1 TITLE CANCELLED TO REAL ESTATE S MP1518445A S MP1518445B,11/18/2013,11/21/2013,2013,VOID,10/28/2015,4/20/2016,,0,0,1,1,2012 BITTER CREEK DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11051426,11051426,11050661,30.18493557,-97.76380216,"(30.18493557, -97.76380216)",,5126802691
2013-121446 BP,R- 645 Demolition One Family Homes,Demolition,No,1144 1/2 GUNTER ST,Total demo of home  Circa 1940,207160242,LOT 3 SOUTH ACRE RESUB OF LOT A,11/1/2013,11/27/2013,2013,Final,2/17/2016,2/17/2016,2/17/2016,588,"5,000.00",1,1,1144 1/2 GUNTER ST,78721,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11051455,11051455,11042156,30.27204093,-97.69585437,"(30.27204093, -97.69585437)",DAR Construction,5124534646
2013-121453 BP,R- 645 Demolition One Family Homes,Demolition,No,2010 SCHULLE AVE,Total demo of existing home  Circa 1939,117070801,LOT 1  N 25 FT OF LOT 2 BLK H SHERWOOD FOREST,9/18/2013,11/27/2013,2013,Final,11/24/2015,11/24/2015,11/24/2015,"1,413","5,000.00",1,1,2010 SCHULLE AVE,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11051462,11051462,11019038,30.29873307,-97.776471,"(30.29873307, -97.776471)",DAR Construction,5124534646
2013-121609 BP,R- 645 Demolition One Family Homes,Demolition,No,2902 WILLOWBRIDGE CIR,Total demo of residence and pool  Circa 1965,121060414,LOT 4 BLK C BROWN HERMAN ADDN NO 2 SEC 4,11/16/2013,11/22/2013,2013,Final,4/17/2014,4/17/2014,4/17/2014,"2,679","23,000.00",1,1,2902 WILLOWBRIDGE CIR,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053087,11053087,11050304,30.30958496,-97.77105463,"(30.30958496, -97.77105463)",Southwest Destructors****MAIN***,5129179511
2013-121611 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,601 ELMWOOD PL,Total demo of twostory structure located in rear of property  Circa 1930,215050905,LOT 55 OLT 1 DIV X COLLEGE COURT  12 DRIVEWAY RESERVE,11/12/2013,11/27/2013,2013,Expired,1/17/2016,1/16/2016,,"1,200","5,000.00",1,1,601 ELMWOOD PL,78705,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053089,11053089,11048088,30.29045418,-97.73365825,"(30.29045418, -97.73365825)",DAR Construction,5124534646
2013-121613 BP,R- 645 Demolition One Family Homes,Demolition,No,5208 SAMUEL HUSTON AVE,Total demo of single family residence and detached structure  Circa 1952,211220801,,11/13/2013,11/21/2013,2013,Final,8/21/2014,8/21/2014,8/21/2014,"1,100","3,000.00",1,1,5208 SAMUEL HUSTON AVE,78721,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053091,11053091,11048550,30.28143902,-97.67681809,"(30.28143902, -97.67681809)","Isdale Construction, LLC",5128446114
2013-121665 BP,R- 645 Demolition One Family Homes,Demolition,No,3341 PAISANO TRL,Total demo of single family res  Foundation will remain,416261204,ABS 3 SUR 18 BISSELL T ACR 71546,11/19/2013,11/26/2013,2013,Expired,11/27/2015,11/26/2015,,0,"5,000.00",1,1,3341 PAISANO TRL,78745,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053152,11053152,11051553,30.20725688,-97.83072756,"(30.20725688, -97.83072756)",Zion Rest Baptist Church,5128920703
2013-121764 BP,R- 645 Demolition One Family Homes,Demolition,No,3210 HANCOCK DR,Total demo of home  Circa 1949,130020426,LOT 6 BLK J HIGHLAND PARK WEST,10/25/2013,11/20/2013,2013,Final,2/8/2018,2/8/2018,2/8/2018,"1,900","8,000.00",1,1,3210 HANCOCK DR,78731,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053258,11053258,11039237,30.33216101,-97.75794382,"(30.33216101, -97.75794382)",GreenTex Builders LLC,5128277482
2013-121868 BP,R- 645 Demolition One Family Homes,Demolition,No,1408 GASTON AVE,Total demo of existing home  Circa 1963  Located in the NRHD,116000518,LOT 18A BLK 27  RESUB OF LOT 18  PART OF LOT 17 PEMBERTON HEIGHTS SEC 8,9/30/2013,11/20/2013,2013,Expired,6/2/2015,6/1/2015,,"1,800","8,000.00",1,1,1408 GASTON AVE,78703,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053366,11053366,11024277,30.29574522,-97.75295385,"(30.29574522, -97.75295385)","Greek TX, Inc. dba Austin Express",5122516100
2013-122103 BP,R- 645 Demolition One Family Homes,Demolition,No,605 TERRELL HILL DR,Total demo of exiting home  Circa 1940,405050608,1365 ACR OF LOT 1 BLK 1 LOVELESS ADDN,10/25/2013,12/2/2013,2013,Expired,12/3/2015,12/2/2015,,904,"5,150.00",1,1,605 TERRELL HILL DR,78704,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053649,11053649,11039138,30.23562272,-97.7644332,"(30.23562272, -97.7644332)",Construction Waste Recyclers,5126334769
2013-122135 BP,R- 645 Demolition One Family Homes,Demolition,No,3316 HEMLOCK AVE,Total demo of home and detached shed  Circa 1951,214111215,LOT 15 OLT 32 DIV C CHERRYWOOD ANNEX,11/20/2013,12/9/2013,2013,Final,10/7/2015,10/7/2015,10/7/2015,"1,200","8,000.00",1,1,3316 HEMLOCK AVE,78722,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053692,11053692,,30.28878255,-97.71450417,"(30.28878255, -97.71450417)",Vasher Enterprises,2148013820
2013-122243 BP,R- 645 Demolition One Family Homes,Demolition,No,800 BOULDIN AVE,Total demo of duplex  Circa 1956,102020909,LOT 78  N 21 FT OF LOT 6 BLK 3 ARBOLES ESTATE SEC 3,10/16/2013,11/26/2013,2013,Final,10/18/2016,11/26/2015,10/18/2016,"2,000","10,000.00",1,1,800 BOULDIN AVE,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11053816,11053816,11034059,30.25708502,-97.75533667,"(30.25708502, -97.75533667)",Texas Construction Co,5124518050
2013-122534 BP,R- 645 Demolition One Family Homes,Demolition,No,706 FLETCHER ST,Demolish a cr 1947 one story sf res,402030619,E CEN522FT BLK 2 BAWCOM SUBD,11/15/2013,12/12/2013,2013,Final,3/6/2014,3/6/2014,3/6/2014,"1,500","5,000.00",1,1,706 FLETCHER ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11054148,11054148,11049973,30.24406856,-97.76030271,"(30.24406856, -97.76030271)","Brodie Builders, LLC",5124831796
2013-122535 BP,R- 645 Demolition One Family Homes,Demolition,No,706 FLETCHER ST,Demolish a cr 1947 one story sf res,402030619,E CEN522FT BLK 2 BAWCOM SUBD,11/15/2013,12/12/2013,2013,Final,3/6/2014,3/6/2014,3/6/2014,0,0,1,1,706 FLETCHER ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11054149,11054149,11049973,30.24406856,-97.76030271,"(30.24406856, -97.76030271)","Brodie Builders, LLC",5124831796
2013-122540 BP,R- 645 Demolition One Family Homes,Demolition,No,1602 NEWTON ST,Demolish a cr 1949 1 story sf res,400000608,S 50FT OF LOT 16 BLK B BECKERS GUS F SUBD,11/15/2013,3/11/2014,2014,Final,4/16/2014,4/16/2014,4/16/2014,"1,155","3,200.00",1,1,1602 NEWTON ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11054154,11054154,11050023,30.24836014,-97.75283574,"(30.24836014, -97.75283574)",DAR Construction,5124534646
2013-123175 BP,R- 645 Demolition One Family Homes,Demolition,No,4904 LOUIS AVE,Total demo of residence  Circa 1940,209191212,00619 AC OF LOT 5 BLK 2 MASONFIELD,11/18/2013,11/26/2013,2013,Final,4/23/2014,4/23/2014,4/23/2014,540,"2,000.00",1,1,4904 LOUIS AVE,78721,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11054905,11054905,11050501,30.27508194,-97.68514317,"(30.27508194, -97.68514317)",Robert G Socia,5129446516
2013-123182 BP,R- 645 Demolition One Family Homes,Demolition,No,704 WAYSIDE DR,Total demo of home  Circa 1960,111070805,LOT 46 MARLTON PLACE SEC 1,11/22/2013,11/26/2013,2013,Expired,11/27/2015,11/26/2015,,"1,200","8,000.00",1,1,704 WAYSIDE DR,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11054912,11054912,11054491,30.28239406,-97.7742989,"(30.28239406, -97.7742989)","Heart of Texas Demolition, LLC",5129091533
2013-123690 BP,R- 645 Demolition One Family Homes,Demolition,No,1411 ALTA VISTA AVE,Demolish a cr 1944 sf res,302030407,LOT 13 BLK 25 TRAVIS HEIGHTS,11/15/2013,11/27/2013,2013,Final,4/21/2014,4/21/2014,4/21/2014,900,"2,000.00",1,1,1411 ALTA VISTA AVE,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11055491,11055491,11050027,30.24623923,-97.74177976,"(30.24623923, -97.74177976)",DAR Construction,5124534646
2013-123714 BP,R- 645 Demolition One Family Homes,Demolition,No,514 W ANNIE ST,Total demo of home  Circa 1934,400000101,E 41FT OF LOT 1415 BLK 3 BOULDIN D W,11/13/2013,1/10/2014,2014,Final,8/27/2014,8/27/2014,8/27/2014,730,"10,000.00",1,1,514 W ANNIE ST,78704,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11055519,11055519,11048360,30.24741237,-97.75507539,"(30.24741237, -97.75507539)",Dig B LLC,9173046721
2013-123724 BP,R- 645 Demolition One Family Homes,Demolition,No,2005 S L DAVIS AVE,Total demo of existing single family res  Circa 1948,208093601,,9/27/2013,11/26/2013,2013,Final,7/23/2014,7/23/2014,7/23/2014,484,"1,500.00",1,1,2005 S L DAVIS AVE,78702,1,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11055532,11055532,11023419,30.27066934,-97.71790116,"(30.27066934, -97.71790116)",MX3 Investments,5122702900
2013-125996 BP,R- 645 Demolition One Family Homes,Demolition,No,1806 ANN ARBOR AVE,Total demo of home  Circa 1952,102070220,LOT 3 RESUB LOT 4547 PT 44 SUN TERRACE,11/27/2013,12/9/2013,2013,Expired,2/11/2015,2/10/2015,,888,"4,800.00",1,1,1806 ANN ARBOR AVE,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11059855,11059855,11056295,30.25431364,-97.77541694,"(30.25431364, -97.77541694)",Absolute Demolition,5129181989
2013-127148 BP,R- 645 Demolition One Family Homes,Demolition,No,5105 EVERGREEN CT,Total demo of residence  Circa 1949,130020422,LOT 9 BLK J HIGHLAND PARK WEST,11/20/2013,12/9/2013,2013,Expired,12/11/2017,12/10/2017,,"1,600","7,000.00",1,1,5105 EVERGREEN CT,78731,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11061193,11061193,11053269,30.33226738,-97.7572149,"(30.33226738, -97.7572149)","Greek TX, Inc. dba Austin Express",5122516100
2013-127757 BP,R- 645 Demolition One Family Homes,Demolition,No,1210 GARDEN ST,Total demo of existing home  Circa 1936,202051401,,9/27/2013,12/17/2013,2013,Final,9/18/2014,9/18/2014,9/18/2014,672,"1,500.00",1,1,1210 GARDEN ST,78702,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11061884,11061884,11023408,30.25750996,-97.73267921,"(30.25750996, -97.73267921)",MX3 Investments,5122702900
2013-128602 BP,R- 645 Demolition One Family Homes,Demolition,No,3502 S 2ND ST,Total demolition of single family res  Circa 1938,405052601,,12/9/2013,12/17/2013,2013,Final,12/1/2014,12/1/2014,12/1/2014,712,"1,500.00",1,1,3502 S 2ND ST,78704,3,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11062887,11062887,11061262,30.23249656,-97.769147,"(30.23249656, -97.769147)",MX3 Investments,5122702900
2013-129140 BP,R- 645 Demolition One Family Homes,Demolition,No,12221 WATERS PARK RD,Total demo of existing home  Circa 1974  No historic review required,262100105,ABS 2162 SUR 20 FOWLER T M ACR 294,12/13/2013,12/13/2013,2013,Expired,12/14/2015,12/13/2015,,"1,350","6,000.00",1,1,12221 WATERS PARK RD,78759,7,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11063690,11063690,11063675,30.4160347,-97.70916833,"(30.4160347, -97.70916833)",Plumbing & Septic,512
2013-129866 BP,R- 645 Demolition One Family Homes,Demolition,No,702 WOOD ST,Total demo of homes  Circa 1920,107000224,02140AC OF LOT 1214 BLK F OLT 2 DIV Z RAYMOND SUBD,12/11/2013,12/19/2013,2013,Expired,7/16/2014,7/15/2014,,600,"5,000.00",1,1,702 WOOD ST,78703,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11065670,11065670,11062298,30.27208421,-97.75145695,"(30.27208421, -97.75145695)",,5122959840
